,,,,,,,,,,Imagen referencial,,
PIN DE GRILLETE DE MUELLE CL. 10.9 - 1 MUESCA,,,,,,,,,,,,
"CÓDIGO
SOLO","CÓDIGO
COMPLETO","PIN
(mm.)","BOCINA
(mm.)",GRAS.,POS.,MARCA,MODELO,"EMP.
(uds.)","CAJA
(uds.)",,"SOLO
V. V.","COMP.
V. V."
AB2A000025,AB2A100025,30x152,Ø30 x Ø38 x 88,GOM,D,HINO,700,2,24,,$9.15,$9.33
AB2A000026,AB2A100026,30x152,Ø30 x Ø38 x 88,GM,D,HINO,700,2,24,,$9.13,$9.32
AB2A000040,AB2A100040,30x155,Ø30 x Ø40 x 88,GM,D,SINOTRUK/FOTON,HOWO/AUMAN,2,24,,$9.30,$13.81
AB2A000037,AB2A100037,30x160,Ø30 x Ø38 x 88,GM,D,FAW,3252,2,24,,$9.59,
AB2A000027,AB2A100027,30x170,,GM,P,GOLDEN DRAGON,XML6845,2,24,,$10.20,$10.38
AB2A000038,AB2A100038,30x250,,,D,FAW,3252,2,24,,,
AB2A000009,AB2A100009,32x152,Ø32 x Ø38 x 88,GM,D,FUSO,CANTER 10T,2,24,,$10.38,$13.15
AB2A000011,AB2A100011,32x152,Ø32 x Ø38 x 88,GOM,D,FUSO,CANTER 10T,2,24,,$10.40,$13.16
AB2A000010,AB2A100010,32x165,Ø32 x Ø38 x 98,GM,P,ISUZU,FORWARD,2,24,,$11.27,$16.38
AB2A000039,AB2A100039,32x168,,,D,FAW,3252,2,24,,,
AB2A000041,AB2A100041,35x142,,GM,,CAMC,,2,24,,$11.61,
AB2A000028,AB2A100028,35x149,,GM,P,HIGER,"KLQ
6840/6883/6885",2,24,,,
AB2A000029,AB2A100029,35x152,Ø35 x Ø42 x 75,GM,P,GOLDEN DRAGON,XML6796,2,24,,$12.43,$12.61
AB2A000030,AB2A100030,35x153,Ø35 x Ø42 x 88,GM,P,HIGER,"KLQ
6840/6883/6885",2,24,,$12.47,$12.66
AB2A000031,AB2A100031,35x160,Ø35 x Ø42 x 88,GM,P,NISSAN,,2,24,,$13.07,$13.26
AB2A000032,AB2A100032,35x163,Ø35 x Ø42 x 88,,P,FOTON,"1138, 5122",2,24,,,
AB2A000033,AB2A100033,35x163,Ø35 x Ø42 x 88,GM,P,HIGER,KLQ 6840/6883,2,24,,$13.30,$13.49
AB2A000034,AB2A100034,35x168,,,P,HIGER,,2,24,,,
AB2A000012,AB2A100012,38x151,Ø38 x Ø46 x 88,GM,P,HINO,500,2,24,,$14.56,$19.32
AB2A000035,AB2A100035,38x158,Ø38 x Ø46 x 88,GM,P,HINO,500,2,24,,$15.22,$19.98
PRECIO DE VENTA POR UNIDAD (INC. IGV),,,,,,,,,,,,
"GM: Grasera en la cara de la muesca
GOM: Grasera en la cara opuesta a la muesca",,,,,,,,,,,,
