LÍNEA MOTO
20
PERNO TAPA MOTOR H8
DESCRIPCIÓN CÓDIGO P. V. EMP.
M6 x 1.00 x 22 BM120622 $9.11 46 CTO
M6 x 1.00 x 25 BM120625 $9.74 42 CTO
M6 x 1.00 x 32 BM120632 $11.25 31 CTO
M6 x 1.00 x 37 BM120637 $12.25 25 CTO
M6 x 1.00 x 40 BM120640 $13.00 24 CTO
M6 x 1.00 x 45 BM120645 $14.36 20 CTO
M6 x 1.00 x 50 BM120650 $15.36 21.5 CTO
M6 x 1.00 x 55 BM120655 $16.46 16 CTO
M6 x 1.00 x 60 BM120660 $17.51 15 CTO
PRECIO DE VENTA POR PIEZA (INCLUYE IGV)
TORNILLO TAPA LATERAL CLASE 5.8
DESCRIPCIÓN CÓDIGO P. V. EMP.
M6 x 1.00 x 15 BM120622 $9.11 46 CTO
M6 x 1.00 x 20 BM120625 $9.74 42 CTO
M6 x 1.00 x 25 BM120632 $11.25 31 CTO
M6 x 1.00 x 30 BM120637 $12.25 25 CTO
PRECIO DE VENTA POR PIEZA (INCLUYE IGV)
@dinafastener Índice
